,learning_rate,n_estimators,total_accuracy,yes_accuracy,no_accuracy,prob_threshold,tree_depth
4011,0.05,100.0,0.5631808278867102,0.3831310301898537,0.7432306255835668,0.5100000000000001,6.0
4012,0.05,100.0,0.5634920634920635,0.37566137566137564,0.7513227513227513,0.5200000000000001,6.0
4013,0.05,100.0,0.5613134142545907,0.3660130718954248,0.7566137566137566,0.5300000000000001,6.0
4014,0.05,100.0,0.5610021786492375,0.35792094615624026,0.7640834111422347,0.5400000000000001,6.0
4015,0.05,100.0,0.5611577964519141,0.35014005602240894,0.7721755368814193,0.5500000000000002,6.0
4016,0.05,100.0,0.5583566760037348,0.33986928104575165,0.776844070961718,0.5600000000000002,6.0
4017,0.05,100.0,0.5589791472144413,0.33053221288515405,0.7874260815437286,0.5700000000000002,6.0
4018,0.05,100.0,0.5588235294117647,0.323062558356676,0.7945845004668534,0.5800000000000002,6.0
4019,0.05,100.0,0.5592903828197946,0.31746031746031744,0.8011204481792717,0.5900000000000002,6.0
4020,0.1,100.0,0.579520697167756,0.5160286336756925,0.6430127606598195,0.4,6.0
4021,0.1,100.0,0.5798319327731093,0.506691565515095,0.6529723000311236,0.41000000000000003,6.0
4022,0.1,100.0,0.582010582010582,0.4995331465919701,0.664488017429194,0.42000000000000004,6.0
4023,0.1,100.0,0.5802987861811392,0.488328664799253,0.6722689075630253,0.43000000000000005,6.0
4024,0.1,100.0,0.5818549642079054,0.48148148148148145,0.6822284469343293,0.44000000000000006,6.0
4025,0.1,100.0,0.5813881107998755,0.4733893557422969,0.6893868658574541,0.45000000000000007,6.0
4026,0.1,100.0,0.5801431683784625,0.46405228758169936,0.6962340491752257,0.4600000000000001,6.0
4027,0.1,100.0,0.5788982259570495,0.45409274821039525,0.7037037037037037,0.4700000000000001,6.0
4028,0.1,100.0,0.5771864301276066,0.44319950202303143,0.7111733582321818,0.4800000000000001,6.0
4029,0.1,100.0,0.5802987861811392,0.4375972611266729,0.7230003112356054,0.4900000000000001,6.0
4030,0.1,100.0,0.5821661998132587,0.43075007780890134,0.733582321817616,0.5000000000000001,6.0
4031,0.1,100.0,0.5813881107998755,0.4211017740429505,0.7416744475568005,0.5100000000000001,6.0
4032,0.1,100.0,0.5813881107998755,0.41425459072517895,0.748521630874572,0.5200000000000001,6.0
4033,0.1,100.0,0.5812324929971989,0.4055399937752879,0.7569249922191099,0.5300000000000001,6.0
4034,0.1,100.0,0.5798319327731093,0.3971366324307501,0.7625272331154684,0.5400000000000001,6.0
4035,0.1,100.0,0.5785869903516963,0.38748832866479926,0.7696856520385932,0.5500000000000002,6.0
4036,0.1,100.0,0.5793650793650794,0.38032990974167447,0.7784002489884843,0.5600000000000002,6.0
4037,0.1,100.0,0.5792094615624027,0.3719265483971366,0.7864923747276689,0.5700000000000002,6.0
4038,0.1,100.0,0.5784313725490197,0.3622782446311858,0.7945845004668534,0.5800000000000002,6.0
4039,0.1,100.0,0.575785869903517,0.3498288204170557,0.8017429193899782,0.5900000000000002,6.0
4040,0.2,100.0,0.544973544973545,0.4444444444444444,0.6455026455026455,0.4,6.0
4041,0.2,100.0,0.543728602552132,0.4301276065981948,0.6573295985060691,0.41000000000000003,6.0
4042,0.2,100.0,0.5417055711173359,0.4189231248054777,0.664488017429194,0.42000000000000004,6.0
4043,0.2,100.0,0.5423280423280423,0.40927482103952695,0.6753812636165577,0.43000000000000005,6.0
4044,0.2,100.0,0.5417055711173359,0.3974478680361033,0.6859632741985683,0.44000000000000006,6.0
