,learning_rate,n_estimators,total_accuracy,yes_accuracy,no_accuracy,prob_threshold,tree_depth
198,0.1,30.0,0.9635885885885885,0.8408713002993017,0.9930317295672757,0.45,1.0
199,0.1,30.0,0.9635242385242385,0.8399290544285556,0.9931780100534588,0.46,1.0
200,0.1,30.0,0.9635885885885885,0.8379891364593726,0.9937232373201415,0.47000000000000003,1.0
201,0.1,30.0,0.9640712140712141,0.8276798581088571,0.9967951275299874,0.48000000000000004,1.0
202,0.1,30.0,0.963996138996139,0.8271810220596386,0.9968217239820208,0.49000000000000005,1.0
203,0.1,30.0,0.9639317889317889,0.8262387761888926,0.996968004468204,0.5,1.0
204,0.1,30.0,0.9634920634920635,0.8218046779736171,0.9974866352828533,0.51,1.0
205,0.1,30.0,0.9634813384813384,0.8210841370136348,0.997646213995053,0.52,1.0
206,0.1,30.0,0.9634384384384385,0.8208070058751802,0.9976595122210697,0.53,1.0
207,0.1,30.0,0.9634277134277134,0.8206961534197983,0.9976728104470863,0.54,1.0
208,0.1,30.0,0.9632990132990134,0.8193659239552156,0.9978323891592862,0.55,1.0
209,0.2,30.0,0.9605748605748605,0.8295089236226583,0.9920210643900104,0.45,1.0
210,0.2,30.0,0.9606928356928357,0.8275690056534752,0.9926327827867762,0.46,1.0
211,0.2,30.0,0.9602852852852853,0.8232457598935816,0.9931647118274423,0.47000000000000003,1.0
212,0.2,30.0,0.9603389103389104,0.8205298747367255,0.9938828160323413,0.48000000000000004,1.0
213,0.2,30.0,0.9604676104676104,0.8161512027491409,0.9950929545998564,0.49000000000000005,1.0
214,0.2,30.0,0.9605641355641356,0.809222924287773,0.9968749168860874,0.5,1.0
215,0.2,30.0,0.9603710853710854,0.80728300631859,0.9971009867283704,0.51,1.0
216,0.2,30.0,0.9602638352638353,0.8046225473894246,0.9976063193170032,0.52,1.0
217,0.2,30.0,0.9597168597168597,0.7996341868972398,0.9981249501316525,0.53,1.0
218,0.2,30.0,0.9592020592020593,0.796474891918856,0.9982446341658023,0.54,1.0
219,0.2,30.0,0.9584727584727585,0.7913756789712892,0.9985637915902019,0.55,1.0
220,0.5,30.0,0.9533140283140283,0.8485201197206518,0.978456873853028,0.45,1.0
221,0.5,30.0,0.956048906048906,0.844474005099213,0.982818691986489,0.46,1.0
222,0.5,30.0,0.9586014586014586,0.8372131692716994,0.9877257373866326,0.47000000000000003,1.0
223,0.5,30.0,0.9604568854568855,0.8301740383549495,0.9917152051916275,0.48000000000000004,1.0
224,0.5,30.0,0.9603818103818104,0.8220263828843809,0.9935769568339583,0.49000000000000005,1.0
225,0.5,30.0,0.9597597597597598,0.8137678749584303,0.9947870954014735,0.5,1.0
226,0.5,30.0,0.9593843843843843,0.7999113180356945,0.997646213995053,0.51,1.0
227,0.5,30.0,0.958033033033033,0.7906551380113069,0.9981914412617356,0.52,1.0
228,0.5,30.0,0.9557700557700558,0.7774636958208624,0.9985504933641852,0.53,1.0
229,0.5,30.0,0.9513299013299014,0.7527990244983926,0.9989627383707014,0.54,1.0
230,0.5,30.0,0.9452380952380952,0.7203746812991908,0.9991888082129844,0.55,1.0
231,0.1,1.0,0.9638996138996139,0.84253408713003,0.9930184313412591,0.45,2.0
232,0.1,1.0,0.9638996138996139,0.84253408713003,0.9930184313412591,0.46,2.0
233,0.1,1.0,0.9638996138996139,0.84253408713003,0.9930184313412591,0.47000000000000003,2.0
